data;n°;sesso;lt carapace (mm);peso tot (g);peso addome;peso epato;Hiw;TwB;SA;muta;maturità gonadi;peso gonadi;;;;;;;;;;;;;;;;;;;
04/07/2018;27;M;39.4;12.3;3.8;0.5;4.07;30.89;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;28;M;41.83;15.3;4.2;0.7;4.58;27.45;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;29;M;42.91;16.7;4.8;1;5.99;28.74;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;30;M;46.43;28.3;5.9;1.3;4.59;20.85;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;31;M;51.56;27.7;6.3;0.5;1.81;22.74;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;32;M;48.19;25;6.3;1.2;4.80;25.20;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;33;M;49.71;31.2;7;1.1;3.53;22.44;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;34;M;46.42;24.2;6.2;0.9;3.72;25.62;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;35;M;41.05;16.3;4.5;0.9;5.52;27.61;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;36;M;45.63;23.8;5.8;0.8;3.36;24.37;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;37;M;47.66;21.5;5.9;1;4.65;27.44;SI;SI;;;;;;;;;;;;;;;;;;;;;
04/07/2018;38;M;54.95;58;11;2.7;4.66;18.97;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;39;M;61.71;59;13.7;2.9;4.92;23.22;SI;SI;;;;;;;;;;;;;;;;;;;;;
04/07/2018;40;M;51.58;27;6.4;1.4;5.19;23.70;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;41;M;53.6;32.1;8.2;1.3;4.05;25.55;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;42;M;52.22;39.6;8.3;1.9;4.80;20.96;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;43;M;41.86;14.2;4.4;0.7;4.93;30.99;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;44;M;49.15;25.4;8;1.3;5.12;31.50;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;45;M;46.73;29.5;6.8;1.3;4.41;23.05;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;46;M;53.11;45.1;9.6;1.9;4.21;21.29;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;47;M;49.49;26.6;6.8;1.1;4.14;25.56;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;48;M;44.71;18.8;5.4;1.1;5.85;28.72;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;49;M;52.32;32;8.7;1.5;4.69;27.19;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;50;M;46.21;22.3;5.6;0.9;4.04;25.11;SI;NO;;;;;;;;;;;;;;;;;;;;;
